Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
2nn,10000,sphere_func,0,0,1.890835486583492e-05,0.2025440178502857,0.025280477039497217,0.021500535265096977,0.20662450790405273
2nn,10000000,sphere_func,0,0,4.3590987007621936e-10,0.04119373369134652,0.004212007673116363,0.003413907212060996,184.9744131565094
2nn,10000,sphere_func,0.0,5.0,2.9048935814570635e-05,0.2385870138276489,0.03639696777626708,0.028806693583932702,0.17876696586608887
2nn,10000000,sphere_func,0.0,5.0,1.9185093848316827e-08,0.17922392085491648,0.02726839921852598,0.020611284302605802,186.6845920085907
2nn,1000,sphere_func,0.0,5.0,7.874989811439279e-05,0.1977781457016688,0.04854587471176554,0.039543780133030344,0.07455873489379883
2nn,100000,sphere_func,0.0,5.0,1.6921267210807825e-06,0.1517413902126549,0.03063880310262649,0.023112277151709933,1.605700969696045
2nn,1000000,sphere_func,0.0,5.0,6.72930888580449e-07,0.16314596718312502,0.028028583253480198,0.021162946355181005,15.629399299621582
32nn,1000,rastrigin_func,0,0,1.256380208771561e-06,0.00019032378567017063,5.868103502864716e-05,4.2282070364308834e-05,0.08837580680847168
32nn,10000,rastrigin_func,0,0,8.718935947016061e-08,0.00018739311235700654,4.9299568511110594e-05,3.5762889032866206e-05,0.35564756393432617
32nn,100000,rastrigin_func,0,0,7.117488284780585e-09,0.000194757635286721,4.98696192757287e-05,3.6426689754403035e-05,3.8597569465637207
32nn,1000000,rastrigin_func,0,0,2.1898702537101397e-10,0.0001375991323446215,3.3571513877922434e-05,2.436304099918994e-05,36.36892318725586
32nn,10000000,rastrigin_func,0,0,2.5215655622065454e-11,7.183795452739088e-05,1.433930944433e-05,1.0446784818061247e-05,375.2232520580292
32nn,1000,rastrigin_func,0.0,5.0,1.0337590011727384e-06,0.00023041629093879405,5.530558440535252e-05,4.3070889270010974e-05,0.0819246768951416
32nn,10000,rastrigin_func,0.0,5.0,3.871864997596156e-08,0.0001827585993569458,4.769153919975904e-05,3.484355965334028e-05,0.33477210998535156
32nn,100000,rastrigin_func,0.0,5.0,4.154839968602657e-09,0.00019527438083764297,5.014133475296542e-05,3.6357597835524105e-05,2.9126343727111816
32nn,1000000,rastrigin_func,0.0,5.0,6.75937613025221e-10,0.0001378032982681854,3.363673019241056e-05,2.4414766695721695e-05,34.253257274627686
32nn,10000000,rastrigin_func,0.0,5.0,2.5218781742103954e-11,7.148706868134375e-05,1.4606879802200269e-05,1.0674841004087803e-05,396.1760764122009
32nn,1000,rosenbrock_func,0,0,0.979205735468525,455.0920774285452,97.46898554932426,84.6272578505871,0.09432554244995117
32nn,10000,rosenbrock_func,0,0,0.016822449970132804,561.0195453800653,57.80868204216839,66.09424947362268,0.44304728507995605
32nn,100000,rosenbrock_func,0,0,0.0006134094181054962,415.67023783949605,25.321470260930813,32.60651473910755,3.0530128479003906
32nn,1000000,rosenbrock_func,0,0,2.1064031873520123e-05,249.48712222271584,11.17470883701789,16.02297682684629,40.50591039657593
32nn,10000000,rosenbrock_func,0,0,2.0435887626055806e-06,173.35488427887844,5.077888545543604,7.585330176550291,401.9048647880554
32nn,1000,rosenbrock_func,0.0,5.0,0.7751530373366403,686.9218066918122,113.30734243377579,122.4433501896854,0.07801151275634766
32nn,10000,rosenbrock_func,0.0,5.0,0.06766718154398618,517.9475738733859,57.70961642065606,64.0134538263938,0.49144721031188965
