Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
2nn,1000,rastrigin_func,0.0,5.0,0.0014005541527753074,0.39922503216450034,0.1217224867339937,0.09221988573203316,0.07573485374450684
2nn,100000,rastrigin_func,0.0,5.0,3.5061500540667367e-06,0.34595251172810926,0.06783652719759246,0.05032140693584254,1.5806617736816406
2nn,10000000,rastrigin_func,0.0,5.0,1.123969206595632e-08,0.16535978526738782,0.024793910172261548,0.018857521677203736,126.65274930000305
2nn,1000000,rastrigin_func,0.0,5.0,9.949522051799775e-07,0.21996148246218622,0.03836703579475397,0.029031636444123994,13.966472148895264
2nn,10000,rastrigin_func,0.0,5.0,0.00010800350292416994,0.35206467384042167,0.09448773653704745,0.0699808213695511,0.154066801071167
2nn,100000,rosenbrock_func,0,0,8.458047772419951e-07,0.20707458814490082,0.015178137421415248,0.016256153902435514,1.5513250827789307
2nn,1000000,rosenbrock_func,0,0,5.631287887386538e-08,0.09506228133189576,0.00810328984131281,0.00873915485131244,14.507699728012085
2nn,10000000,rosenbrock_func,0,0,1.2508304565728157e-09,0.06490243599209555,0.004374340141436836,0.004689538195112793,157.62330198287964
2nn,10000,rosenbrock_func,0,0,9.723632302394147e-06,0.23546496529777344,0.03161733952933444,0.034232903631735985,0.18790698051452637
2nn,1000,rosenbrock_func,0,0,0.00040023146753472624,0.5897838643322177,0.0663569057815694,0.07710712231953008,0.06887984275817871
2nn,100000,rosenbrock_func,0.0,5.0,1.527229797846849e-06,0.18379605812711564,0.014822807640051502,0.016156451907403842,1.5185422897338867
2nn,1000000,rosenbrock_func,0.0,5.0,1.349716836906989e-08,0.11111211322406422,0.007755117641810321,0.008324160958081375,17.988698959350586
2nn,1000,rosenbrock_func,0.0,5.0,0.00020839206866700433,0.2326849244873192,0.05369723343761239,0.049985806655151184,0.06319928169250488
2nn,10000000,rosenbrock_func,0.0,5.0,8.951099722542821e-10,0.07178068134285165,0.004222323712882058,0.00453484966662439,170.9350128173828
2nn,10000,rosenbrock_func,0.0,5.0,1.8970247199972395e-05,0.23516676312407297,0.03411818941136235,0.033634733155745444,0.24252867698669434
2nn,10000,sphere_func,0,0,4.220856519854266e-06,0.14355603930717487,0.028355426822269787,0.023716621948652514,0.10168170928955078
2nn,100000,sphere_func,0,0,3.0645489275116233e-06,0.09818854178118197,0.014471433451697314,0.01188665216825051,0.6110408306121826
2nn,1000,sphere_func,0,0,0.0001150473944150493,0.2801297684823915,0.051826709993404906,0.04375086086607686,0.05146455764770508
2nn,10000000,sphere_func,0,0,2.193298653807574e-09,0.035867784985538775,0.004323940560661017,0.003511289589147642,92.54947185516357
2nn,1000000,sphere_func,0,0,9.33948762077419e-10,0.07318541615236507,0.007932451972554894,0.006472325943862467,8.19852876663208
2nn,1000,sphere_func,0.0,5.0,0.0011223277743687143,0.2287875069508783,0.05967386915278183,0.048301836861451335,0.06184077262878418
2nn,10000,sphere_func,0.0,5.0,1.3141782284620263e-06,0.16951324419312397,0.03757340420362263,0.029293643956323383,0.0980980396270752
2nn,1000000,sphere_func,0.0,5.0,4.1938004280428487e-07,0.1438271627798955,0.023287171860320092,0.01761465734974588,9.37647819519043
2nn,100000,sphere_func,0.0,5.0,4.755806582379396e-06,0.1362833209916703,0.027198033371002323,0.020675276840459604,0.7528223991394043
2nn,10000000,sphere_func,0.0,5.0,1.1940548438893472e-08,0.13432902423450388,0.02169897456496205,0.01639700050963478,91.44775032997131
32nn,1000,rastrigin_func,0,0,0.0009711311017390756,0.5071233934166884,0.12691971258625487,0.0988346767902135,0.07094550132751465
32nn,10000,rastrigin_func,0,0,0.00017573702644546607,0.27826348224871866,0.08110163515228756,0.05921439865727721,0.1453554630279541
32nn,100000,rastrigin_func,0,0,1.2497654315657414e-05,0.30926508999759367,0.08182528442300704,0.05936297687661342,1.5745429992675781
32nn,1000000,rastrigin_func,0,0,3.323895954587819e-07,0.20309337809620548,0.05134948722328607,0.03728423775169199,18.794422388076782
32nn,10000000,rastrigin_func,0,0,1.0235323699703258e-09,0.10048191721338473,0.02170446292058095,0.015820854639468078,180.61174845695496
32nn,10000,rastrigin_func,0.0,5.0,3.7723056622085416e-05,0.34653809633819094,0.08721144184343169,0.06444864999120194,0.20295476913452148
32nn,1000,rastrigin_func,0.0,5.0,0.0022005736817253263,0.30897191712823263,0.10213247486664292,0.07624021141844993,0.05594635009765625
32nn,1000000,rastrigin_func,0.0,5.0,1.3645766383518776e-07,0.1943599965844358,0.046887344686542105,0.03406175861082837,16.55206561088562
32nn,100000,rastrigin_func,0.0,5.0,6.0262174508829425e-06,0.2846538337219254,0.07480814484325471,0.05456495424461534,1.656212329864502
32nn,10000000,rastrigin_func,0.0,5.0,5.538824687789656e-08,0.1024018974298069,0.01993150486736017,0.014563070282412948,194.69193387031555
32nn,10000,rosenbrock_func,0,0,2.352115571153425e-05,0.3105240063131292,0.03643073888661379,0.04246559012362962,0.22706389427185059
32nn,1000,rosenbrock_func,0,0,0.0008061872624071798,0.4017730426600603,0.0887616596327847,0.07839864248454123,0.0821688175201416
32nn,1000000,rosenbrock_func,0,0,2.4380028024184597e-08,0.16422770926643074,0.006432466607725269,0.00930611967400821,18.035346746444702
32nn,100000,rosenbrock_func,0,0,2.2370030848054e-06,0.225567079355322,0.015404327395439173,0.01998266896918938,1.494842767715454
32nn,10000000,rosenbrock_func,0,0,3.42327974127421e-09,0.09346480675208313,0.0028725279076097167,0.00429915822679995,204.89538383483887
32nn,1000,rosenbrock_func,0.0,5.0,0.0012679167940728986,0.7743837485625766,0.08964920995599969,0.09748574571716982,0.05922079086303711
32nn,100000,rosenbrock_func,0.0,5.0,7.106622235131255e-07,0.26274709418299086,0.015956788317762736,0.020549208296931024,1.689495325088501
32nn,10000,rosenbrock_func,0.0,5.0,2.132560240100667e-05,0.32364673991386234,0.03823774747788664,0.04101557586762794,0.27999401092529297
