Method,Data size,Data function,Noise mean,Noise std. deviation,Absolute error min,Absolute error max,Absolute error mean,Absolute error std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Normalized error min,Normalized error max,Normalized error mean,Normalized error std. deviation,Time elapsed
1nn,10000000,rastrigin_func,0.0,5.0,1.0216051476996668e-07,0.2158065920190433,0.03252878361771349,0.024489967543075256,2.090551443604157e-07,1.3570628050274842,0.0757748928113978,0.06375418115384403,1.165367773873256e-07,0.2461753920237108,0.03710630886770341,0.027936252104998276,132.32964873313904
1nn,1000000,rastrigin_func,0.0,5.0,3.7789394918830155e-07,0.24894335523201322,0.04796915338534131,0.03584743158411353,8.246596326164382e-07,2.3267476417721897,0.11638899896210894,0.10132792420216727,4.3236208734008583e-07,0.28482506515055295,0.05488323729493831,0.04101433849041385,12.976531267166138
1nn,1000,rosenbrock_func,0,0,8.74732051812507e-05,0.48055803401757446,0.07196870607402116,0.07458400211158257,0.002645519845461565,458.6891060686997,3.460073521385751,37.30342370364894,9.441919098459089e-05,0.5187177113159046,0.07768352593959142,0.08050649481949114,0.09730672836303711
1nn,1000000,rosenbrock_func,0,0,9.037364367275869e-09,0.1074268479687227,0.009633391320195642,0.009984850229657618,5.980194213178553e-07,2.640701509840199,0.0782908524881588,0.06993662487920947,9.533592476520158e-09,0.11332549490638755,0.010162346374585244,0.010533103365106215,16.133235216140747
1nn,10000000,rosenbrock_func,0,0,2.5849951068579458e-09,0.07776037429577054,0.0054023921683495,0.0055495047090951145,4.667182922876474e-08,3.125319517459198,0.04404694290871338,0.03902578708151167,2.630482115215144e-09,0.07912868899240835,0.005497455658821356,0.005647156873469131,176.83154892921448
1nn,100000,rosenbrock_func,0,0,4.135319842747719e-06,0.1743213565395405,0.019819645802781925,0.020328643065934824,6.954266093785871e-06,5.093414458252356,0.14247612986162153,0.14091050132719854,3.7955893305678388e-06,0.16000026748401555,0.0181913948631088,0.01865857627948691,1.2627391815185547
1nn,10000,rosenbrock_func,0,0,6.867796987219954e-07,0.3356674105346436,0.03431129593733551,0.03591781456376208,2.5692900065523096e-06,2.7265861711796764,0.25890237325402643,0.26800122255951203,7.925341945428096e-07,0.38735551056239215,0.03959475700871539,0.04144865709921353,0.1696929931640625
1nn,1000000,rosenbrock_func,0.0,5.0,5.211310025177163e-08,0.11667818230953819,0.01007570420013286,0.010377257987220124,9.9063633384994e-07,4.108337548367032,0.07860971657990148,0.07087411371480111,5.414217086283181e-08,0.1212211526861309,0.010468010840487273,0.010781305896546762,16.239996910095215
1nn,100000,rosenbrock_func,0.0,5.0,5.075465564080561e-07,0.22439549789567126,0.018111883754463994,0.018831825874934417,3.253851053577781e-05,7.348302246443472,0.1404475302492561,0.1445213922752689,5.487973522866302e-07,0.2426332196630579,0.019583925304739402,0.020362380649427296,1.5731987953186035
1nn,1000,rosenbrock_func,0.0,5.0,7.112801972711247e-05,0.4404678687418474,0.0804778574552397,0.08937335382324453,0.0005695408927861039,2.3966377286249267,0.4131350876544634,0.3989420892844851,7.561572049652002e-05,0.4682584356806684,0.08555547024704478,0.0950122127462946,0.06454610824584961
1nn,10000,rosenbrock_func,0.0,5.0,9.731829029215738e-07,0.3007474331517626,0.036064831798506725,0.036172514624414016,0.00011182784645007293,3.832163078150784,0.2585432191147401,0.2656733292628443,9.625418548977112e-07,0.29745897846393987,0.035670489063972084,0.035776994456409916,0.2257366180419922
1nn,10000000,rosenbrock_func,0.0,5.0,3.2528717913704597e-09,0.08064296182911179,0.005465224123829939,0.005612113116071236,4.88289102857724e-08,3.348422979024231,0.0439586423088006,0.038184554097530805,3.330298161158304e-09,0.08256246317556272,0.005595309934499664,0.005745695246965201,173.05355620384216
1nn,100000,sphere_func,0,0,1.5651204510191974e-07,0.09976080851069169,0.017776527317365405,0.013801195888785204,5.167971332062238e-07,1.737873839068795,0.058837813873327906,0.051774696079762025,1.7132494464193606e-07,0.1092025536079293,0.019458965963867123,0.015107393939545669,0.7103874683380127
1nn,1000000,sphere_func,0,0,1.6495312352149405e-07,0.06992176000539718,0.01001145289255946,0.007724569848313394,9.205926711529124e-07,1.6899627690079737,0.03310321031631165,0.028798566110607556,1.683148552878431e-07,0.07134676000995026,0.010215485520118878,0.007881995978150052,7.2630205154418945
1nn,10000000,sphere_func,0,0,1.5010647724800208e-09,0.03877696551294596,0.005545555215295455,0.0042682080342469845,4.6256149023659095e-09,0.6286887020737691,0.018513253936618124,0.01562857316625979,1.5001354371392522e-09,0.03875295801831973,0.005542121865489205,0.004265565512324745,90.43555021286011
1nn,10000,sphere_func,0,0,1.3175105029183953e-05,0.16262493418871582,0.034791718590586204,0.02654772077024483,1.977888015292268e-05,4.047853753296932,0.10815316027645003,0.1394028331556822,1.3998270320801876e-05,0.17278555158639672,0.03696546484278457,0.028206391593833945,0.18500661849975586
1nn,1000,sphere_func,0,0,0.0005716953254137347,0.2738721529638139,0.061980079323537815,0.05448957617246496,0.003193371518834109,0.8842484239722894,0.16938032165011993,0.14268241757546682,0.000741361239560998,0.3551510564749747,0.08037432945972288,0.07066081868893574,0.04703569412231445
1nn,100000,sphere_func,0.0,5.0,2.079587309689046e-06,0.21355739777688582,0.034974394623788825,0.026614276558461984,6.610969397126825e-06,0.9279246617718531,0.09029019467424444,0.07680837026960571,2.681804214283354e-06,0.27540037712341864,0.045102448191084006,0.03432136688950001,0.7141156196594238
1nn,10000000,sphere_func,0.0,5.0,2.052385816853075e-09,0.18654365242625612,0.030706895458498036,0.023208108474233408,4.9104731570883275e-09,0.8398758791307526,0.07988919783055246,0.06807521077291312,2.6244832084849588e-09,0.23854222701306624,0.03926636544346198,0.029677310421446633,88.73436164855957
